date,data
01/01/60,0.71
01/04/60,0.63
02/07/60,0.85
01/10/60,0.44
01/01/61,0.61
02/04/61,0.69
02/07/61,0.92
01/10/61,0.55
01/01/62,0.72
02/04/62,0.77
02/07/62,0.92
01/10/62,0.6
01/01/63,0.83
02/04/63,0.8
02/07/63,1
01/10/63,0.77
01/01/64,0.92
01/04/64,1
02/07/64,1.24
01/10/64,1
01/01/65,1.16
02/04/65,1.3
02/07/65,1.45
01/10/65,1.25
01/01/66,1.26
02/04/66,1.38
02/07/66,1.86
01/10/66,1.56
01/01/67,1.53
02/04/67,1.59
02/07/67,1.83
01/10/67,1.86
01/01/68,1.53
01/04/68,2.07
02/07/68,2.34
01/10/68,2.25
01/01/69,2.16
02/04/69,2.43
02/07/69,2.7
01/10/69,2.25
01/01/70,2.79
02/04/70,3.42
02/07/70,3.69
01/10/70,3.6
01/01/71,3.6
02/04/71,4.32
02/07/71,4.32
01/10/71,4.05
01/01/72,4.86
01/04/72,5.04
02/07/72,5.04
01/10/72,4.41
01/01/73,5.58
02/04/73,5.85
02/07/73,6.57
01/10/73,5.31
01/01/74,6.03
02/04/74,6.39
02/07/74,6.93
01/10/74,5.85
01/01/75,6.93
02/04/75,7.74
02/07/75,7.83
01/10/75,6.12
01/01/76,7.74
01/04/76,8.91
02/07/76,8.28
01/10/76,6.84
01/01/77,9.54
02/04/77,10.26
02/07/77,9.54
01/10/77,8.729999
01/01/78,11.88
02/04/78,12.06
02/07/78,12.15
01/10/78,8.91
01/01/79,14.04
02/04/79,12.96
02/07/79,14.85
01/10/79,9.99
01/01/80,16.2
01/04/80,14.67
02/07/80,16.02
01/10/80,11.61